PROVINCIENAAM,PLEEGGEMEENTE,PAALGEGEVENS,OMSCHRIJVING_FEITGROEP,INSTROOM,FLEX
Gelderland,Arnhem,3097 Arnhem Nijmeegseweg kruising Akeleistraat,Verkeerslicht,278
Gelderland,Arnhem,3107 Arnhem Nijmeegseweg kruising Airborneplein B. Heuvelink,Verkeerslicht,215
Gelderland,Arnhem,3107 Arnhem Nijmeegseweg kruising Airborneplein B. Heuvelink,Snelheid,802
Gelderland,Arnhem,3108 Arnhem Batavierenweg kruising Burgemeester Matsersingel,Snelheid,665
Gelderland,Arnhem,3108 Arnhem Batavierenweg kruising Burgemeester Matsersingel,Verkeerslicht,77
Gelderland,Nijmegen,3109 Nijmegen N326 Graafseweg kruising Wolfskuilseweg,Snelheid,704
Gelderland,Nijmegen,3109 Nijmegen N326 Graafseweg kruising Wolfskuilseweg,Verkeerslicht,140
Gelderland,Ede,3316 Ede Dr. W. Dreeslaan kruising Willy Brandtlaan,Snelheid,1659
Gelderland,Ede,3316 Ede Dr. W. Dreeslaan kruising Willy Brandtlaan,Verkeerslicht,105
Gelderland,Nijmegen,3318 Nijmegen Neerbosscheweg kruising Graafseweg richting A73,Snelheid,404
Gelderland,Nijmegen,3318 Nijmegen Neerbosscheweg kruising Graafseweg richting A73,Verkeerslicht,483
Gelderland,Ede,3342 Ede N224 Rijksweg kruising Laarwoud richting Arnhem,Verkeerslicht,32
Gelderland,Ede,3342 Ede N224 Rijksweg kruising Laarwoud richting Arnhem,Snelheid,4283
Gelderland,Ede,3343 Ede N224 Rijksweg kruising Laarwoud richting A30 (Renswoude),Snelheid,1793
Gelderland,Ede,3343 Ede N224 Rijksweg kruising Laarwoud richting A30 (Renswoude),Verkeerslicht,74
Gelderland,Arnhem,3411 Arnhem Lange Water kruising Lange Wal,Snelheid,598
Gelderland,Arnhem,3411 Arnhem Lange Water kruising Lange Wal,Verkeerslicht,29
Gelderland,Arnhem,3412 Arnhem Lange Water kruising Bethaniënstraat,Snelheid,729
Gelderland,Arnhem,3412 Arnhem Lange Water kruising Bethaniënstraat,Verkeerslicht,33
Gelderland,Arnhem,3414 Arnhem Velperbuitensingel kruising Steenstraat,Snelheid,387
Gelderland,Arnhem,3414 Arnhem Velperbuitensingel kruising Steenstraat,Verkeerslicht,128
