Provincie,Paalnr Gemeente Locatie,Snelheid
Noord-Holland,3978 Amsterdam Postjesweg thv fietsoversteek,6184
Noord-Holland,3979 Amsterdam S107 Plesmanlaan thv fietsoversteek Christoffel Plantijnpad,172
Noord-Holland,3985 Amsterdam S105 Burgemeester Röellstraat thv afslag Burgemeester Cramergracht,594
Noord-Holland,4311 Amsterdam Weesperstraat thv kruising Nieuwe Achtergracht,856
Noord-Holland,4317 Amsterdam S118 Molenaarsweg thv kruising Oostzanerdijk,3303
Noord-Holland,4329 Amsterdam S100 Piet Heinkade thv lichtmast 121861,1307
Noord-Holland,4335 Amsterdam Zuiderzeeweg thv afslag P+R Zeeburg 2,1231
Noord-Holland,4339 Amsterdam Kattenburgerstraat thv Kattenburgerkruisstraat,5778
Noord-Holland,4340 Amsterdam Oostenburgergracht richting Cruquiuskade,4849
Noord-Holland,4637 Amsterdam Meibergdreef thv afslag Paasheuvelweg,6068
Noord-Holland,3972 Bloemendaal N208 Rijksstraatweg thv huisnummer 89,706
Noord-Holland,3975 Alkmaar Vondelstraat thv lichtmast 12,347
Noord-Holland,3977 Haarlem Rijksstraatweg thv huisnummer 378C,127
Noord-Holland,3980 Alkmaar N242 Provincialeweg thv hmp 41.5,1045
Noord-Holland,3981 Haarlem N200 Oudeweg kruising Nijverheidsweg,2249
Noord-Holland,3990 Hoorn Provinciale Weg thv spoorwegovergang,2613
Noord-Holland,4326 Purmerend A7 thv Purmerend,13052
Noord-Holland,4341 Purmerend A7 thv hmp 14.1 re richting Hoorn,3201
Noord-Holland,4627 Zaanstad Doctor H.G. Scholtenstraat thv bushalte,2608
Noord-Holland,4632 Zaanstad De Weer t.h.v. huisnummer 61,1187
Noord-Holland,4641 Diemen Diemerpolderweg tegenover lichtmast 2487-908 R27,18057
Drenthe,4307 Hoogeveen Industrieweg thv huisnummer 45,803
Drenthe,4308 Assen Groningerstraat thv huisnummer 300,86
Drenthe,4310 Tynaarlo Asserstraat thv huisnummer 11,2706
Drenthe,4617 Tynaarlo Hogeweg thv huisnummer 13B,489
Drenthe,4626 Tynaarlo Burg. J.G. Legroweg thv huisnummer 29,2907
Flevoland,4603 Dronten N309 Dronterweg thv kruising Lisdoddeweg,235
Flevoland,4604 Noordoostpolder N352 Zuiderringweg thv kr Neushoornweg,282
Flevoland,4611 Noordoostpolder N352 Schokkerringweg thv afslag Middelbuurt,2944
Flevoland,4612 Almere N701 Oostvaardersdijk thv Gemaal De Blocq van Kuffeler,4440
Flevoland,4615 Lelystad Larserdreef thv kruising Delfland,614
Flevoland,4616 Noordoostpolder N331 Vollenhoverweg thv hmp 29.8,1911
Friesland,4315 Achtkarspelen N355 thv kruising Friesestraatweg,369
Friesland,4318 Waadhoeke N398 Middelseewei thv Hogerhuisdyk,1430
Friesland,4327 Achtkarspelen N369 Landyk thv Skieppedrifte,995
Friesland,4647 Waadhoeke Harlingerweg thv Edisonstraat 16,10027
Friesland,4653 Achtkarspelen Uterwei thv huisnr 8,1284
Gelderland,4321 Voorst A1 thv hmp 90,1 richting Apeldoorn 10.285
Gelderland,4325 Westervoort Hamersestraat thv huisnummer 16A,2159
Gelderland,4334 Harderwijk Langstraat thv huisnummer 117,250
Gelderland,4334 Lingewaard Langstraat thv huisnummer 117,685
Gelderland,4636 Zaltbommel N322 Van Heemstraweg thv hmp 23.0,4940
Gelderland,4639 Oldebroek Zuiderzeestraatweg thv huisnummer 219,6870
Gelderland,4643 West Betuwe N833 Rijksstraatweg nabij kruising Oude Hoevenseweg,3911
Gelderland,4648 Nunspeet N795 thv Pas-Opweg,6989
Gelderland,4649 Barneveld Hoofdstraat thv huisnummer 84,2150
Groningen,4330 Midden-Groningen Hereweg thv huisnummer 277,329
Groningen,4336 Westerwolde N364 Westerstraat thv huisnummer 158,776
Groningen,4600 Westerkwartier N388 Woldweg thv Zandumerklap,447
Groningen,4609 Midden-Groningen N386 Woldweg thv huisnummer 145A,1428
Groningen,4614 Groningen N360 Rijksweg thv huisnummer 129A,1751
Limburg,3989 Maasgouw N273 thv hmp 45.7 258
Limburg,4607 Roermond Venloseweg thv huisnummer 37,785
Limburg,4608 Heerlen Schelsberg thv huisnummer 97,1426
Limburg,4613 Venlo Venloseweg thv huisnummer 49,1609
Limburg,4620 Stein Steinderweg thv huisnummer 35,580
Noord-Brabant,3984 's-Hertogenbosch Sint Teunislaan thv perceel 60,303
Noord-Brabant,3988 Bergen op Zoom Randweg West thv kruising Halsterseweg,766
Noord-Brabant,4300 Tilburg Ringbaan Zuid thv huisnummer 301,1923
Noord-Brabant,4304 Tilburg N261 Burgemeester Bechtweg thv hmp 6.0,3325
Noord-Brabant,4314 Breda Tramsingel thv huisnummer 27,518
Noord-Brabant,4323 Roosendaal Burgemeester Schneiderlaan nabij kruising Bovendonk,4132
Noord-Brabant,4602 Breda Julianalaan thv huisnummers 79-81,2652
Noord-Brabant,4605 Meierijstad N637 Rooiseweg thv huisnummer 17,35
Noord-Brabant,4606 Eindhoven Geldropseweg thv lichtmast 262,6055
Noord-Brabant,4621 Oosterhout Beneluxweg thv huisnummer 85,749
Noord-Brabant,4624 Maashorst Rondweg thv Hoefstraat 5 thv huisnummer 5,3
Noord-Brabant,4624 Maashorst Rondweg thv huisnummer 5,2538
Noord-Brabant,4625 Bladel N284 Rondweg thv huisnummer 12,350
Noord-Brabant,4628 Someren N612 Stipdonk thv hmp 82.8,3254
Noord-Brabant,4638 Drimmelen Crullaan thv Patrijsflat,841
Overijssel,4332 Deventer Henry Dunantlaan thv huisnummer 18,1912
Overijssel,4337 Hengelo (O) Deldenerstraat thv huisnummer 310,213
Overijssel,4640 Enschede Broekheurnerrondweg thv huisnummer 47,1705
Overijssel,4646 Oldenzaal Schipleidelaan thv huisnummer 15,6441
Overijssel,4654 Enschede Noord Esmarkerrondweg nabij kruising Sleutelbloemweg,1085
Utrecht,3987 Soest Dalweg thv afslag Albert Cuyplaan,60
Utrecht,4301 Utrecht Stadsbaan Leidsche Rijn t.h.v. lichtmast 74,2075
Utrecht,4305 Utrecht Vleutensebaan thv lichtmast 69,226
Utrecht,4322 De Bilt Soestdijkseweg Noord nabij kruising van Ostadelaan,931
Utrecht,4331 De Bilt Kon.Wilhelminaweg thv huisnummer 481,19
Utrecht,4635 Woerden Utrechtsestraatweg thv huisnr 98,32
Utrecht,4642 Woerden Rembrandtlaan thv huisnummer 53,472
Utrecht,4650 Woerden N458 thv huisnummer 70,3421
Zeeland,4610 Hulst N290 Gentsevaart thv huisnummer 43,3472
Zeeland,4634 Veere Hondegemsweg thv huisnr 31,2916
Zuid-Holland,3973 Vlaardingen Holysingel thv lichtmast 131,1793
