Provincie,Paalnr Gemeente Locatie,Snelheid
Zuid-Holland,3982 's-Gravenhage S105 Erasmusweg thv fietsoversteek Menno Ter Braakstraat,1145
Zuid-Holland,4303 Vlaardingen Holysingel t.h.v. lichtmast 116,783
Zuid-Holland,4312 Gouda Burgemeester Jamessingel thv afslag Burg. Mijssingel,1081
Zuid-Holland,4313 's-Gravenhage Vreeswijkstraat thv huisnummer 151,2682
Zuid-Holland,4316 Delft Buitenhofdreef thv perceel 266,714
Zuid-Holland,4319 Delft Voorhofdreef thv oversteek,239
Zuid-Holland,4320 Rijswijk Schaapweg thv oversteek,13
Zuid-Holland,4324 Delft Vrijenbanselaan kruising Curacaostraat,11168
Zuid-Holland,4328 Rotterdam A16 thv hmp 15.7 richting Rotterdam-Kralingen,100025
Zuid-Holland,4618 Westland Heulweg thv kruising Harry Hoekstraat,377
Zuid-Holland,4622 Hoeksche Waard N217 s Gravendeelseweg thv hmp 24.9,136
Zuid-Holland,4623 Goeree-Overflakkee Oosterweg thv oversteekplaats Prins Hendrikweg,2738
Zuid-Holland,4629 Rotterdam Molenvliet thv tramhalte Smeetslandsedijk,10851
Zuid-Holland,4630 Nissewaard Heemraadlaan thv lichtmast 90,5891
Zuid-Holland,4633 Rotterdam Jacques Dutilhweg t.h.v. huisnummer 185,954
Zuid-Holland,4644 Capelle aan den IJssel Bermweg thv huisnummer 204,1802
Zuid-Holland,4645 Pijnacker-Nootdorp Molenaar Blonkweg nabij kruising Keizerskroon,12377
Zuid-Holland,4651 Westland Dorpskade thv huisnummer 50,402
Zuid-Holland,4652 Dordrecht Oranjelaan thv Vijverweg huisnummer 1,4006
