instroom,Snelheid
01 Noord-Nederland,23086
02 Oost-Nederland,31227
03 Midden-Nederland,11263
04 Noord-Holland,39724
05 Amsterdam,1646
06 Den Haag,786
07 Rotterdam,14032
08 Zeeland-West-Brabant,14797
09 Oost-Brabant,7651
10 Limburg,4093
Koninklijke Marechaussee,37
Landelijke Eenheid,184951
Totaal,333293
